timestamp,experiment,name,size,amount,warmup,duration,amount_avg,no_warmup_avg
2025-08-17T16:04:29.744440400+00:00,e1,io,100,15,5,"[561, 92, 93, 89, 87, 92, 87, 87, 84, 92, 85, 85, 85, 92, 84]",119,87
2025-08-17T16:04:29.750649100+00:00,e1,native opt,100,15,5,"[296, 105, 97, 95, 101, 94, 94, 92, 102, 90, 90, 94, 93, 90, 94]",108,93
2025-08-17T16:04:29.834706200+00:00,e1,wasm (pass all data),100,15,5,"[265, 323, 476, 168, 258, 196, 322, 175, 176, 203, 250, 163, 168, 168, 254]",237,207
2025-08-17T16:04:29.911497800+00:00,e1,wasm opt (pruned data),100,15,5,"[187, 162, 167, 348, 168, 218, 210, 171, 173, 163, 172, 154, 158, 163, 161]",185,174
2025-08-17T16:04:29.988624400+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),100,15,5,"[183, 166, 547, 159, 145, 150, 348, 153, 166, 157, 159, 220, 181, 163, 168]",204,186
2025-08-17T16:04:30.066564300+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),100,15,5,"[247, 403, 205, 378, 409, 195, 189, 209, 186, 187, 187, 199, 227, 205, 188]",240,197
2025-08-17T16:04:30.139272800+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),100,15,5,"[198, 393, 172, 578, 177, 622, 971, 193, 191, 251, 179, 358, 178, 175, 348]",332,346
2025-08-17T16:04:30.147025400+00:00,e1,io,1000,15,5,"[447, 407, 407, 439, 419, 413, 420, 414, 416, 395, 413, 401, 397, 401, 392]",412,406
2025-08-17T16:04:30.154825400+00:00,e1,native opt,1000,15,5,"[455, 435, 463, 416, 415, 425, 423, 423, 419, 419, 418, 424, 421, 433, 423]",427,422
2025-08-17T16:04:30.234961200+00:00,e1,wasm (pass all data),1000,15,5,"[643, 686, 827, 630, 630, 607, 658, 660, 650, 618, 631, 646, 677, 683, 648]",659,647
2025-08-17T16:04:30.314076700+00:00,e1,wasm opt (pruned data),1000,15,5,"[602, 620, 651, 637, 631, 843, 625, 618, 620, 608, 891, 693, 683, 620, 608]",663,680
2025-08-17T16:04:30.391743+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),1000,15,5,"[561, 592, 564, 556, 579, 607, 701, 953, 569, 568, 550, 664, 567, 552, 603]",612,633
2025-08-17T16:04:30.474117100+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),1000,15,5,"[845, 810, 828, 1040, 1015, 797, 977, 797, 810, 813, 806, 772, 807, 786, 793]",846,815
2025-08-17T16:04:30.556859800+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),1000,15,5,"[1110, 802, 788, 805, 872, 867, 809, 795, 806, 770, 777, 762, 754, 764, 781]",817,788
2025-08-17T16:04:30.618452700+00:00,e1,io,10000,15,5,"[4253, 4019, 3936, 3890, 3906, 3915, 3977, 3927, 3936, 3914, 4064, 3949, 3983, 4003, 3935]",3973,3960
2025-08-17T16:04:30.681903600+00:00,e1,native opt,10000,15,5,"[4039, 4001, 4089, 4087, 4086, 4102, 4073, 4100, 4075, 4248, 4209, 4148, 4123, 4107, 4125]",4107,4131
2025-08-17T16:04:30.827784200+00:00,e1,wasm (pass all data),10000,15,5,"[5191, 5624, 5180, 5153, 5142, 5156, 5095, 5076, 5253, 5173, 5205, 5139, 5214, 4993, 5413]",5200,5171
2025-08-17T16:04:30.976137900+00:00,e1,wasm opt (pruned data),10000,15,5,"[5847, 5768, 6038, 5071, 5114, 5050, 5109, 5098, 5586, 5184, 4991, 4915, 5054, 4969, 5303]",5273,5125
2025-08-17T16:04:31.112698700+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),10000,15,5,"[4351, 4447, 4386, 4840, 4614, 4359, 4444, 4433, 4413, 4456, 4406, 6161, 4354, 4734, 4746]",4609,4650
2025-08-17T16:04:31.284689300+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),10000,15,5,"[6868, 6878, 6840, 6852, 6831, 7080, 6957, 7118, 6884, 6902, 6877, 6933, 6998, 6976, 6818]",6920,6954
2025-08-17T16:04:31.454390600+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),10000,15,5,"[6510, 6489, 6606, 7058, 6568, 6754, 6730, 6562, 6500, 6645, 6886, 6573, 6764, 6835, 6659]",6675,6690
2025-08-17T16:04:32.073790900+00:00,e1,io,100000,15,5,"[41283, 40916, 41035, 40484, 40674, 42641, 40969, 41090, 41427, 41423, 41045, 40886, 41345, 41129, 40931]",41151,41288
2025-08-17T16:04:32.715393300+00:00,e1,native opt,100000,15,5,"[42363, 44069, 42469, 43213, 42412, 43652, 42104, 42343, 42196, 42146, 41950, 41699, 41994, 42293, 44377]",42618,42475
2025-08-17T16:04:33.577310100+00:00,e1,wasm (pass all data),100000,15,5,"[52370, 52179, 52868, 54701, 52669, 52279, 52351, 52075, 51835, 58426, 51468, 52667, 51978, 51205, 52902]",52798,52718
2025-08-17T16:04:34.424086300+00:00,e1,wasm opt (pruned data),100000,15,5,"[52408, 52257, 51175, 51008, 52822, 51312, 51170, 51369, 58136, 53460, 51602, 50802, 51751, 50113, 51343]",52048,52105
2025-08-17T16:04:35.168055+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),100000,15,5,"[45662, 44586, 45933, 44702, 44814, 44133, 46917, 45067, 44536, 44065, 44739, 45668, 46405, 44427, 44530]",45078,45048
2025-08-17T16:04:36.287511500+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),100000,15,5,"[71260, 71995, 69326, 68678, 69918, 70173, 70448, 69625, 70623, 70655, 70050, 69111, 69837, 68672, 69489]",69990,69868
2025-08-17T16:04:37.373161300+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),100000,15,5,"[67511, 68568, 66852, 70289, 67143, 67031, 66710, 67552, 67330, 67212, 67403, 69226, 68813, 67291, 68140]",67804,67670
2025-08-17T16:04:43.551885400+00:00,e1,io,1000000,15,5,"[408288, 410232, 413500, 412004, 411832, 416983, 409949, 407233, 410914, 414255, 416905, 410764, 418095, 408293, 406969]",411747,412036
2025-08-17T16:04:49.991570+00:00,e1,native opt,1000000,15,5,"[429621, 418501, 421699, 422449, 417925, 437927, 431351, 442132, 425594, 435404, 438232, 428189, 432861, 426792, 428426]",429140,432690
2025-08-17T16:04:58.060048+00:00,e1,wasm (pass all data),1000000,15,5,"[520673, 521883, 532358, 528837, 522980, 517800, 530217, 519543, 523255, 536719, 586239, 526190, 518082, 592505, 520389]",533178,537093
2025-08-17T16:05:06.095662600+00:00,e1,wasm opt (pruned data),1000000,15,5,"[511759, 590040, 524918, 515571, 513681, 518236, 522883, 513602, 514368, 524293, 521417, 578230, 511692, 582341, 518485]",530767,530554
2025-08-17T16:05:12.975601+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),1000000,15,5,"[453876, 461725, 452563, 464419, 448128, 454194, 449695, 452188, 451455, 466999, 452688, 451281, 450564, 452247, 450226]",454149,453153
2025-08-17T16:05:23.566528100+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),1000000,15,5,"[709834, 701201, 696351, 701358, 699076, 697710, 704679, 705184, 712229, 693246, 702102, 706578, 690763, 699375, 704622]",701620,701648
2025-08-17T16:05:33.752625700+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),1000000,15,5,"[671890, 673129, 676017, 666831, 679391, 681390, 671294, 674602, 671265, 667256, 679425, 682358, 671290, 671953, 679091]",674478,674992
2025-08-17T16:05:34.142888600+00:00,e3,io,100,15,5,"[184, 70, 61, 58, 59, 71, 64, 65, 58, 57, 56, 55, 56, 57, 59]",68,59
