timestamp,experiment,name,size,amount,warmup,duration,amount_avg,no_warmup_avg
2025-08-17T16:09:15.012264100+00:00,e1,io,100,15,5,"[348, 99, 93, 95, 91, 87, 93, 87, 84, 93, 91, 84, 83, 89, 90]",107,88
2025-08-17T16:09:15.018556100+00:00,e1,native opt,100,15,5,"[138, 98, 119, 90, 92, 93, 93, 91, 90, 98, 91, 89, 89, 89, 91]",96,91
2025-08-17T16:09:15.161881300+00:00,e1,wasm (pass all data),100,15,5,"[297, 217, 233, 265, 477, 574, 255, 415, 224, 221, 264, 252, 206, 221, 274]",293,290
2025-08-17T16:09:15.290053500+00:00,e1,wasm opt (pruned data),100,15,5,"[269, 252, 259, 208, 273, 251, 252, 269, 219, 226, 216, 215, 258, 223, 203]",239,233
2025-08-17T16:09:15.411739100+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),100,15,5,"[247, 219, 201, 269, 282, 250, 246, 215, 242, 246, 226, 271, 239, 253, 205]",240,239
2025-08-17T16:09:15.533261500+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),100,15,5,"[358, 264, 278, 275, 294, 373, 252, 230, 282, 245, 232, 222, 311, 253, 254]",274,265
2025-08-17T16:09:15.653534100+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),100,15,5,"[263, 270, 248, 243, 226, 247, 227, 224, 230, 284, 244, 224, 228, 261, 230]",243,239
2025-08-17T16:09:15.661489500+00:00,e1,io,1000,15,5,"[533, 433, 417, 414, 419, 428, 427, 418, 415, 410, 430, 426, 440, 427, 440]",431,426
2025-08-17T16:09:15.669854300+00:00,e1,native opt,1000,15,5,"[1054, 446, 442, 422, 424, 433, 441, 423, 422, 430, 429, 420, 424, 419, 433]",470,427
2025-08-17T16:09:15.796168600+00:00,e1,wasm (pass all data),1000,15,5,"[712, 682, 687, 750, 684, 738, 692, 707, 688, 665, 690, 773, 680, 680, 705]",702,701
2025-08-17T16:09:15.920447200+00:00,e1,wasm opt (pruned data),1000,15,5,"[1022, 694, 670, 1219, 699, 694, 737, 726, 721, 713, 723, 712, 688, 683, 712]",760,710
2025-08-17T16:09:16.036985900+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),1000,15,5,"[676, 605, 615, 651, 649, 631, 659, 612, 653, 824, 624, 598, 638, 623, 657]",647,651
2025-08-17T16:09:16.158608400+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),1000,15,5,"[891, 909, 875, 926, 937, 888, 906, 889, 905, 915, 859, 852, 851, 852, 915]",891,883
2025-08-17T16:09:16.282904600+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),1000,15,5,"[857, 903, 871, 858, 903, 905, 878, 860, 909, 864, 1320, 857, 870, 833, 824]",900,912
2025-08-17T16:09:16.344890100+00:00,e1,io,10000,15,5,"[4399, 4145, 4024, 4007, 3988, 3995, 4515, 3910, 3926, 3863, 3865, 3863, 3865, 3859, 3879]",4006,3954
