timestamp,experiment,name,size,amount,warmup,duration,amount_avg,no_warmup_avg
2025-08-18T23:11:41.045712300+00:00,e2,io,100,15,5,"[432820, 444053, 474986, 433001, 427778, 424909, 432052, 436745, 446523, 428774, 429549, 435952, 442891, 417298, 419930]",435150,431462
2025-08-18T23:12:04.741640200+00:00,e2,wasm opt2 dynamic reload,100,15,5,"[1657044, 1581743, 1557847, 1556716, 1607650, 1554135, 1569162, 1598041, 1563112, 1592191, 1554061, 1577339, 1601333, 1576599, 1544914]",1579459,1573088
2025-08-18T23:12:32.904469400+00:00,e2,wasm opt3 dynamic reload,100,15,5,"[1911985, 1851961, 1855781, 1921435, 1865927, 1876380, 1856188, 1883608, 1882455, 1851377, 1876095, 1863474, 1901120, 1875632, 1885619]",1877269,1875194
2025-08-18T23:13:00.374975700+00:00,e2,wasm opt4 dynamic reload,100,15,5,"[1870468, 1835315, 1816091, 1866799, 1816438, 1830724, 1866351, 1822300, 1813863, 1840338, 1805877, 1825994, 1817235, 1820555, 1814380]",1830848,1825761
2025-08-18T23:13:00.792322600+00:00,e4,io,1,15,5,"[433, 282, 244, 255, 226, 241, 228, 226, 274, 241, 228, 234, 270, 238, 231]",256,241
2025-08-18T23:13:00.945978100+00:00,e4,wasm opt2 dynamic reload,1,15,5,"[17731, 10534, 11828, 9160, 9767, 10097, 9130, 9024, 10238, 8946, 9973, 8872, 9128, 7828, 8953]",10080,9218
2025-08-18T23:13:01.085126400+00:00,e4,wasm opt3 dynamic reload,1,15,5,"[9501, 9814, 9270, 8642, 9213, 10099, 9812, 9307, 7992, 8094, 9110, 8831, 8878, 9245, 8681]",9099,9004
2025-08-18T23:13:01.214969600+00:00,e4,wasm opt4 dynamic reload,1,15,5,"[9150, 9203, 9917, 8242, 8420, 9123, 9651, 8797, 8156, 7518, 8496, 8221, 7644, 8169, 6831]",8502,8260
2025-08-18T23:13:01.228853200+00:00,e4,io,10,15,5,"[948, 800, 810, 883, 827, 814, 769, 766, 776, 770, 757, 770, 771, 761, 762]",798,771
2025-08-18T23:13:02.407400400+00:00,e4,wasm opt2 dynamic reload,10,15,5,"[82340, 82302, 78272, 79232, 79564, 73754, 77143, 80884, 77345, 79538, 75626, 74741, 76125, 76742, 81364]",78331,77326
2025-08-18T23:13:03.555738700+00:00,e4,wasm opt3 dynamic reload,10,15,5,"[82259, 77207, 77921, 73074, 75009, 78836, 76067, 75892, 75828, 74846, 76633, 74357, 74646, 75795, 76940]",76354,75984
2025-08-18T23:13:04.716283600+00:00,e4,wasm opt4 dynamic reload,10,15,5,"[74987, 74445, 77540, 75499, 77521, 77460, 77582, 77309, 77860, 75893, 78543, 83581, 77503, 74900, 76515]",77142,77714
2025-08-18T23:13:04.850332500+00:00,e4,io,100,15,5,"[12447, 8907, 9019, 8729, 9019, 8537, 8526, 8832, 9019, 8818, 8118, 8099, 8057, 7870, 7912]",8793,8378
2025-08-18T23:13:16.009127800+00:00,e4,wasm opt2 dynamic reload,100,15,5,"[751971, 757889, 745862, 761894, 746714, 746179, 730722, 745731, 738447, 739840, 747640, 727272, 729769, 755154, 730641]",743715,739139
2025-08-18T23:13:27.156681900+00:00,e4,wasm opt3 dynamic reload,100,15,5,"[760123, 772379, 743118, 724884, 741813, 734024, 737713, 747874, 731453, 734500, 739572, 753692, 740994, 746730, 735554]",742961,740210
2025-08-18T23:13:38.735480+00:00,e4,wasm opt4 dynamic reload,100,15,5,"[743105, 767320, 739786, 767687, 782673, 781209, 780004, 773704, 773357, 766249, 760328, 775098, 792413, 791838, 779976]",771649,777417
2025-08-18T23:13:38.885800100+00:00,e4,io,1000,15,5,"[13559, 10477, 9062, 8838, 8441, 8779, 8094, 8954, 9848, 11586, 9357, 12084, 12144, 8720, 7977]",9861,9754
2025-08-18T23:13:50.515838300+00:00,e4,wasm opt2 dynamic reload,1000,15,5,"[777743, 795210, 779606, 774154, 783031, 783417, 782145, 787743, 823798, 782269, 780279, 752827, 737189, 749019, 738358]",775119,771704
2025-08-18T23:14:01.838004200+00:00,e4,wasm opt3 dynamic reload,1000,15,5,"[754114, 784431, 741685, 744368, 783664, 751043, 756303, 741585, 744450, 759974, 743791, 748309, 760520, 762261, 742197]",754579,751043
2025-08-18T23:14:13.190821800+00:00,e4,wasm opt4 dynamic reload,1000,15,5,"[761960, 779765, 746300, 754917, 743713, 746486, 763607, 741402, 759981, 760984, 755934, 781616, 751504, 745419, 755993]",756638,756292
2025-08-18T23:14:13.323817500+00:00,e4,io,10000,15,5,"[10759, 8709, 8681, 8469, 8679, 9931, 8379, 9176, 8068, 8696, 7999, 8749, 7948, 8861, 7786]",8726,8559
2025-08-18T23:14:24.694254200+00:00,e4,wasm opt2 dynamic reload,10000,15,5,"[744979, 776715, 759640, 767276, 771586, 745149, 756419, 776342, 738427, 757619, 760505, 756065, 751688, 752348, 752555]",757820,754711
2025-08-18T23:14:36.041140500+00:00,e4,wasm opt3 dynamic reload,10000,15,5,"[751565, 784889, 758078, 747960, 757920, 751476, 757539, 751435, 757669, 760165, 746413, 754411, 755798, 746934, 761185]",756229,754302
2025-08-18T23:14:47.416539700+00:00,e4,wasm opt4 dynamic reload,10000,15,5,"[761221, 783354, 754110, 764965, 745687, 749043, 751368, 751959, 765739, 763897, 753837, 766914, 756953, 745835, 757539]",758161,756308
