timestamp,experiment,name,size,amount,warmup,duration,amount_avg,no_warmup_avg
2025-08-18T19:32:49.982517200+00:00,e2,io,100,15,5,"[469603, 427826, 458602, 426760, 431224, 437329, 420744, 418725, 416636, 450320, 460554, 439193, 436169, 434340, 447346]",438358,436135
2025-08-18T19:33:15.366010700+00:00,e2,wasm opt2 dynamic reload,100,15,5,"[1721637, 1604423, 1639234, 1668452, 1672884, 1667769, 1671730, 1688769, 1688376, 1699383, 1739036, 1732791, 1723189, 1744737, 1716578]",1691932,1707235
2025-08-18T19:33:44.890947800+00:00,e2,wasm opt3 dynamic reload,100,15,5,"[2047741, 1982444, 1996421, 1989029, 1980425, 1970331, 1983923, 1941389, 1933264, 1935548, 1950591, 1940446, 1987948, 1949487, 1931717]",1968046,1952464
2025-08-18T19:34:13.649193800+00:00,e2,wasm opt4 dynamic reload,100,15,5,"[1958632, 1908725, 1893373, 1902319, 1878112, 1890527, 1928859, 1936836, 1915407, 1930710, 1922853, 1921738, 1905950, 1925405, 1930574]",1916668,1920885
2025-08-18T19:34:14.093315200+00:00,e4,io,1,15,5,"[885, 361, 327, 355, 296, 303, 298, 305, 316, 298, 291, 308, 290, 303, 290]",348,300
2025-08-18T19:34:14.261765100+00:00,e4,wasm opt2 dynamic reload,1,15,5,"[17977, 10932, 11074, 10898, 10084, 9643, 10367, 10207, 10323, 9558, 10903, 11111, 10765, 11294, 10186]",11021,10435
2025-08-18T19:34:14.417516100+00:00,e4,wasm opt3 dynamic reload,1,15,5,"[10299, 11468, 11805, 11594, 11770, 10692, 10193, 10587, 10073, 9808, 9265, 8359, 8812, 9486, 8745]",10197,9602
2025-08-18T19:34:14.549209700+00:00,e4,wasm opt4 dynamic reload,1,15,5,"[8184, 9129, 8422, 7856, 9045, 9323, 8903, 9226, 8331, 8917, 7723, 9027, 7967, 8541, 8532]",8608,8649
2025-08-18T19:34:14.570933700+00:00,e4,io,10,15,5,"[1965, 1316, 1222, 1209, 1271, 1235, 1192, 1269, 1193, 1268, 1183, 1330, 1297, 1205, 1784]",1329,1295
2025-08-18T19:34:15.851031100+00:00,e4,wasm opt2 dynamic reload,10,15,5,"[81966, 87031, 81250, 84909, 81225, 80010, 84916, 84528, 85750, 86633, 83187, 84232, 86264, 87296, 97464]",85110,86028
2025-08-18T19:34:17.292763900+00:00,e4,wasm opt3 dynamic reload,10,15,5,"[88516, 88418, 86915, 92235, 86444, 93106, 90571, 85197, 86511, 82068, 84057, 86033, 84509, 84081, 84961]",86908,86109
2025-08-18T19:34:18.597148500+00:00,e4,wasm opt4 dynamic reload,10,15,5,"[84331, 83887, 82159, 88061, 84079, 86959, 93819, 84946, 83041, 87597, 90053, 87928, 86658, 84119, 93044]",86712,87816
2025-08-18T19:34:18.808498+00:00,e4,io,100,15,5,"[13947, 14073, 13688, 19102, 13655, 13259, 13612, 14470, 13478, 13237, 12728, 12732, 15436, 13012, 12745]",13944,13470
2025-08-18T19:34:31.101687700+00:00,e4,wasm opt2 dynamic reload,100,15,5,"[843708, 849229, 862772, 827974, 845851, 826002, 810118, 814775, 801193, 815209, 791854, 798102, 818713, 791668, 792789]",819330,806042
2025-08-18T19:34:43.284819700+00:00,e4,wasm opt3 dynamic reload,100,15,5,"[839089, 837711, 808507, 807376, 808864, 819926, 801306, 802607, 816506, 805671, 804045, 802300, 809031, 817308, 799839]",812005,807853
2025-08-18T19:34:55.543173+00:00,e4,wasm opt4 dynamic reload,100,15,5,"[804631, 854804, 799380, 831786, 815756, 809618, 828871, 802442, 822843, 812797, 803269, 815439, 808693, 815992, 828839]",817010,814880
2025-08-18T19:34:55.751140600+00:00,e4,io,1000,15,5,"[15350, 15012, 13304, 14874, 13663, 13667, 13809, 14418, 13578, 12655, 13952, 13055, 12615, 12624, 13016]",13706,13338
2025-08-18T19:35:07.977442300+00:00,e4,wasm opt2 dynamic reload,1000,15,5,"[801696, 839512, 818691, 804653, 809338, 801568, 818936, 795963, 810064, 815845, 809998, 824726, 839815, 808955, 823420]",814878,814929
2025-08-18T19:35:20.246126100+00:00,e4,wasm opt3 dynamic reload,1000,15,5,"[814963, 859156, 816565, 812480, 834323, 817262, 803836, 815285, 811760, 818393, 812568, 802121, 818751, 820520, 805924]",817593,812642
2025-08-18T19:35:32.679485100+00:00,e4,wasm opt4 dynamic reload,1000,15,5,"[806173, 833133, 834124, 808806, 817313, 813624, 811412, 816880, 807247, 815856, 823664, 868387, 866834, 842454, 863646]",828636,833000
2025-08-18T19:35:32.904194+00:00,e4,io,10000,15,5,"[16357, 13838, 15066, 13965, 13198, 13382, 13315, 14522, 15668, 16419, 14534, 15290, 14988, 15102, 16892]",14835,15011
2025-08-18T19:35:45.758233600+00:00,e4,wasm opt2 dynamic reload,10000,15,5,"[849148, 883947, 855764, 841066, 849995, 850169, 852131, 858830, 863871, 850064, 850720, 872476, 870465, 846918, 854782]",856689,857042
2025-08-18T19:35:58.772789+00:00,e4,wasm opt3 dynamic reload,10000,15,5,"[874969, 877778, 900664, 844011, 879655, 857564, 873904, 864592, 851287, 861328, 841184, 847874, 897202, 860728, 877687]",867361,863335
2025-08-18T19:36:11.638301500+00:00,e4,wasm opt4 dynamic reload,10000,15,5,"[846628, 876421, 867963, 848317, 870872, 842283, 848483, 867087, 845576, 878928, 855879, 844807, 854168, 843638, 870978]",857468,855182
