timestamp,experiment,name,size,amount,warmup,duration,amount_avg,no_warmup_avg
2025-08-18T20:53:01.297850400+00:00,e2,io,100,15,5,"[431534, 423229, 446708, 457829, 428441, 420315, 419401, 420569, 434082, 419965, 412936, 412635, 415221, 423856, 423679]",426026,420265
2025-08-18T20:53:20.275998300+00:00,e2,wasm opt2 dynamic reload,100,15,5,"[1327338, 1268959, 1250003, 1252222, 1296990, 1252160, 1265184, 1268457, 1258814, 1272457, 1255514, 1246001, 1250256, 1265174, 1247221]",1265116,1258123
2025-08-18T20:53:43.200204700+00:00,e2,wasm opt3 dynamic reload,100,15,5,"[1611407, 1508126, 1520285, 1519589, 1515773, 1511763, 1531027, 1506586, 1504800, 1537369, 1516599, 1539961, 1531603, 1512824, 1555583]",1528219,1524811
2025-08-18T20:54:05.736509900+00:00,e2,wasm opt4 dynamic reload,100,15,5,"[1561021, 1493685, 1498578, 1492375, 1514331, 1486562, 1517344, 1486536, 1473850, 1507920, 1514539, 1496693, 1499033, 1498691, 1490550]",1502113,1497171
2025-08-18T20:54:06.165918200+00:00,e4,io,1,15,5,"[432, 318, 122, 129, 115, 121, 105, 123, 109, 105, 89, 88, 88, 86, 90]",141,100
2025-08-18T20:54:06.256025500+00:00,e4,wasm opt2 dynamic reload,1,15,5,"[9621, 7294, 5310, 5432, 6139, 4916, 4640, 5380, 5924, 5780, 6127, 5347, 5049, 5147, 5333]",5829,5364
2025-08-18T20:54:06.336442900+00:00,e4,wasm opt3 dynamic reload,1,15,5,"[5104, 5234, 5039, 5136, 5807, 4955, 5739, 5196, 5472, 5021, 5535, 5024, 5082, 5225, 4767]",5222,5201
2025-08-18T20:54:06.416935400+00:00,e4,wasm opt4 dynamic reload,1,15,5,"[5176, 5167, 5701, 5178, 5433, 5272, 5370, 4584, 5648, 4813, 5104, 5445, 5374, 5078, 5008]",5223,5169
2025-08-18T20:54:06.424385+00:00,e4,io,10,15,5,"[334, 249, 270, 223, 225, 235, 226, 217, 229, 230, 228, 222, 230, 222, 223]",237,226
2025-08-18T20:54:07.133370100+00:00,e4,wasm opt2 dynamic reload,10,15,5,"[51702, 47687, 48088, 45092, 46126, 47432, 46043, 47891, 47877, 47204, 44632, 46544, 44647, 47990, 47468]",47094,46772
2025-08-18T20:54:07.847272900+00:00,e4,wasm opt3 dynamic reload,10,15,5,"[48732, 47811, 47976, 45469, 46177, 48064, 46276, 44616, 44540, 45761, 45418, 46607, 48812, 51713, 52924]",47393,47473
2025-08-18T20:54:08.542208800+00:00,e4,wasm opt4 dynamic reload,10,15,5,"[46871, 48269, 48092, 44488, 47070, 48180, 45036, 44282, 43923, 45937, 46208, 44304, 46639, 45618, 47111]",46135,45723
2025-08-18T20:54:08.582466900+00:00,e4,io,100,15,5,"[2440, 3024, 2484, 2285, 2281, 2279, 2262, 2368, 4316, 2689, 2312, 2274, 2383, 2418, 2273]",2539,2557
2025-08-18T20:54:15.443673+00:00,e4,wasm opt2 dynamic reload,100,15,5,"[467969, 453721, 475249, 463681, 463289, 455117, 454755, 464359, 457947, 445558, 450078, 451630, 458558, 448623, 448684]",457281,453530
2025-08-18T20:54:22.183846700+00:00,e4,wasm opt3 dynamic reload,100,15,5,"[450901, 456667, 460125, 453800, 446853, 451225, 442298, 449507, 439889, 451109, 448133, 457691, 439335, 441469, 448985]",449199,446964
2025-08-18T20:54:28.931562500+00:00,e4,wasm opt4 dynamic reload,100,15,5,"[453170, 447827, 472658, 451251, 446384, 450783, 450820, 453493, 439843, 439991, 448103, 454812, 441799, 448515, 446221]",449711,447438
2025-08-18T20:54:28.972627500+00:00,e4,io,1000,15,5,"[3621, 3770, 2964, 2639, 2449, 2402, 2857, 2272, 2229, 2400, 2220, 2545, 2337, 2218, 2211]",2608,2369
2025-08-18T20:54:35.691291500+00:00,e4,wasm opt2 dynamic reload,1000,15,5,"[442956, 452426, 460584, 447209, 450622, 444476, 449908, 439838, 448887, 447657, 445685, 449333, 446199, 446454, 444469]",447780,446290
2025-08-18T20:54:42.441640100+00:00,e4,wasm opt3 dynamic reload,1000,15,5,"[446375, 450829, 457382, 459715, 446115, 452886, 446533, 443215, 451989, 447134, 440785, 449715, 459274, 452806, 443612]",449891,448794
2025-08-18T20:54:49.185719700+00:00,e4,wasm opt4 dynamic reload,1000,15,5,"[447980, 446923, 463688, 448478, 445147, 446333, 446906, 455629, 445954, 448937, 449224, 449080, 456382, 441982, 449419]",449470,448984
2025-08-18T20:54:49.226968600+00:00,e4,io,10000,15,5,"[3606, 3663, 3101, 2373, 2589, 2271, 2258, 2296, 2406, 2468, 2284, 2406, 2233, 2220, 2846]",2601,2368
2025-08-18T20:54:55.969248300+00:00,e4,wasm opt2 dynamic reload,10000,15,5,"[450167, 454513, 460577, 441834, 449971, 442587, 459647, 442978, 440968, 451796, 457712, 440960, 444682, 448979, 452803]",449344,448311
2025-08-18T20:55:02.818777500+00:00,e4,wasm opt3 dynamic reload,10000,15,5,"[464180, 452412, 470114, 458969, 455185, 455983, 454965, 459053, 458207, 465599, 452088, 451284, 447504, 445915, 456006]",456497,454660
2025-08-18T20:55:09.560206200+00:00,e4,wasm opt4 dynamic reload,10000,15,5,"[449974, 450272, 460980, 457920, 449770, 449583, 446319, 445468, 448117, 448714, 445505, 443801, 449796, 453284, 439702]",449280,447028
