timestamp,experiment,name,size,amount,warmup,duration,amount_avg,no_warmup_avg
2025-05-21T20:35:29.081499+00:00,e1,io,100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T20:35:29.087149+00:00,e1,native opt,100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T20:35:29.169596300+00:00,e1,wasm (pass all data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T20:35:29.244446+00:00,e1,wasm opt (pruned data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T20:35:29.318256900+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T20:35:29.393043700+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T20:35:29.614500700+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T20:35:29.623227+00:00,e1,io,1000,15,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T20:35:29.630619900+00:00,e1,native opt,1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T20:35:29.711093300+00:00,e1,wasm (pass all data),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T20:35:29.789131600+00:00,e1,wasm opt (pruned data),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T20:35:29.865356800+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T20:35:29.944404700+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0
2025-05-21T20:35:30.026109700+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),1000,15,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0,0
2025-05-21T20:35:30.166240800+00:00,e1,io,10000,15,5,"[84, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",8,3
2025-05-21T20:35:30.229528800+00:00,e1,native opt,10000,15,5,"[4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4]",3,3
2025-05-21T20:35:30.375177100+00:00,e1,wasm (pass all data),10000,15,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5]",4,4
2025-05-21T20:35:30.518737700+00:00,e1,wasm opt (pruned data),10000,15,5,"[4, 4, 5, 5, 4, 4, 5, 4, 4, 4, 4, 5, 5, 4, 4]",4,4
2025-05-21T20:35:30.650923300+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),10000,15,5,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,4
2025-05-21T20:35:30.819539200+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),10000,15,5,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",6,6
2025-05-21T20:35:30.984799500+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),10000,15,5,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",6,6
2025-05-21T20:35:31.590405500+00:00,e1,io,100000,15,5,"[48, 39, 39, 39, 39, 40, 39, 39, 39, 39, 39, 39, 39, 39, 40]",39,39
2025-05-21T20:35:32.212959700+00:00,e1,native opt,100000,15,5,"[40, 41, 41, 40, 40, 42, 41, 41, 42, 40, 41, 42, 40, 41, 42]",40,41
2025-05-21T20:35:33.055793700+00:00,e1,wasm (pass all data),100000,15,5,"[53, 50, 50, 50, 52, 52, 51, 51, 51, 52, 50, 50, 51, 51, 50]",50,50
2025-05-21T20:35:33.887922200+00:00,e1,wasm opt (pruned data),100000,15,5,"[51, 51, 49, 50, 49, 55, 50, 50, 50, 50, 50, 50, 50, 50, 50]",50,50
2025-05-21T20:35:34.621015100+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),100000,15,5,"[44, 44, 44, 44, 44, 43, 44, 45, 44, 44, 43, 43, 44, 44, 43]",43,43
2025-05-21T20:35:35.700520700+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),100000,15,5,"[68, 66, 68, 68, 66, 67, 67, 68, 67, 67, 68, 67, 66, 66, 65]",66,66
2025-05-21T20:35:36.756921300+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),100000,15,5,"[66, 65, 65, 65, 65, 66, 66, 66, 65, 65, 65, 66, 66, 64, 67]",65,65
2025-05-21T20:35:42.781590900+00:00,e1,io,1000000,15,5,"[406, 411, 410, 404, 395, 399, 399, 394, 399, 391, 398, 405, 403, 402, 399]",401,398
2025-05-21T20:35:48.961251600+00:00,e1,native opt,1000000,15,5,"[414, 410, 418, 405, 405, 409, 415, 408, 410, 413, 411, 412, 412, 414, 416]",411,412
2025-05-21T20:35:56.785179500+00:00,e1,wasm (pass all data),1000000,15,5,"[516, 521, 502, 507, 519, 505, 505, 518, 505, 592, 507, 510, 519, 507, 516]",516,518
2025-05-21T20:36:04.505839800+00:00,e1,wasm opt (pruned data),1000000,15,5,"[510, 511, 584, 497, 508, 496, 509, 498, 499, 502, 507, 526, 501, 497, 497]",509,503
2025-05-21T20:36:11.119653500+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),1000000,15,5,"[435, 435, 441, 431, 438, 443, 427, 445, 434, 434, 439, 435, 433, 430, 435]",435,435
2025-05-21T20:36:21.259339800+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),1000000,15,5,"[677, 677, 670, 674, 670, 670, 669, 667, 667, 667, 666, 671, 681, 678, 659]",670,669
2025-05-21T20:36:31.201553800+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),1000000,15,5,"[647, 647, 666, 656, 653, 658, 652, 653, 723, 657, 638, 654, 653, 661, 647]",657,659
2025-05-21T20:36:41.387172500+00:00,e2,io,10000,15,5,"[631, 617, 614, 617, 619, 613, 618, 622, 616, 615, 618, 619, 612, 614, 614]",617,616
2025-05-21T20:48:21.923433600+00:00,e2,wasm opt2 dynamic reload,10000,15,5,"[45590, 45985, 46314, 46464, 46500, 46627, 46704, 46915, 47097, 46835, 46997, 46926, 47174, 47274, 47135]",46702,46968
2025-05-21T21:00:19.487698100+00:00,e2,wasm opt3 dynamic reload,10000,15,5,"[47550, 47732, 47490, 47531, 47665, 47655, 47823, 47975, 47973, 47853, 47921, 48080, 48180, 48223, 47913]",47837,47959
2025-05-21T21:12:22.442161900+00:00,e2,wasm opt4 dynamic reload,10000,15,5,"[48340, 47961, 48100, 48297, 48402, 48265, 48217, 48584, 48386, 48230, 48238, 48100, 48009, 47895, 47931]",48197,48185
2025-05-21T21:12:29.044286200+00:00,e2,io,100,15,5,"[407, 409, 414, 412, 407, 407, 406, 410, 407, 406, 409, 409, 418, 417, 412]",410,410
2025-05-21T21:12:47.033462400+00:00,e2,wasm opt2 dynamic reload,100,15,5,"[1253, 1195, 1202, 1216, 1197, 1181, 1212, 1192, 1191, 1186, 1190, 1193, 1206, 1186, 1178]",1198,1191
2025-05-21T21:13:09.065487200+00:00,e2,wasm opt3 dynamic reload,100,15,5,"[1466, 1469, 1490, 1460, 1461, 1502, 1469, 1453, 1463, 1464, 1472, 1456, 1485, 1458, 1454]",1468,1467
2025-05-21T21:13:30.508435100+00:00,e2,wasm opt4 dynamic reload,100,15,5,"[1430, 1432, 1438, 1430, 1431, 1443, 1451, 1418, 1427, 1424, 1431, 1423, 1413, 1425, 1415]",1428,1427
2025-05-21T21:13:30.892254800+00:00,e3,io,100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:30.899200900+00:00,e3,native opt,100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:30.981420300+00:00,e3,wasm (pass all data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:31.056815300+00:00,e3,wasm opt (pruned data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:31.131174600+00:00,e3,wasm opt2 (pruned data + filter conditions in wasm),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:31.208221600+00:00,e3,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:31.281672100+00:00,e3,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:31.288722500+00:00,e3,io,1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:31.294941200+00:00,e3,native opt,1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:31.371995+00:00,e3,wasm (pass all data),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:31.448421700+00:00,e3,wasm opt (pruned data),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:31.520400700+00:00,e3,wasm opt2 (pruned data + filter conditions in wasm),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:31.597562300+00:00,e3,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:31.674115700+00:00,e3,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:13:31.720148800+00:00,e3,io,10000,15,5,"[3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,2
2025-05-21T21:13:31.765842100+00:00,e3,native opt,10000,15,5,"[2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,2
2025-05-21T21:13:31.893978900+00:00,e3,wasm (pass all data),10000,15,5,"[4, 4, 4, 3, 3, 5, 3, 4, 3, 3, 3, 3, 4, 3, 4]",3,3
2025-05-21T21:13:32.023579600+00:00,e3,wasm opt (pruned data),10000,15,5,"[4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 5, 4]",4,4
2025-05-21T21:13:32.140854900+00:00,e3,wasm opt2 (pruned data + filter conditions in wasm),10000,15,5,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3,3
2025-05-21T21:13:32.296727500+00:00,e3,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),10000,15,5,"[5, 6, 5, 5, 6, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5]",5,5
2025-05-21T21:13:32.449078800+00:00,e3,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),10000,15,5,"[5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",5,5
2025-05-21T21:13:32.908457900+00:00,e3,io,100000,15,5,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 31, 30, 30, 30, 30, 30]",30,30
2025-05-21T21:13:33.374491+00:00,e3,native opt,100000,15,5,"[30, 34, 30, 30, 31, 30, 30, 31, 30, 30, 30, 30, 30, 30, 30]",30,30
2025-05-21T21:13:34.058676100+00:00,e3,wasm (pass all data),100000,15,5,"[39, 40, 40, 40, 41, 39, 40, 42, 42, 41, 39, 45, 40, 40, 40]",40,40
2025-05-21T21:13:34.802936500+00:00,e3,wasm opt (pruned data),100000,15,5,"[42, 50, 42, 51, 42, 49, 45, 43, 42, 42, 42, 42, 52, 42, 44]",44,44
2025-05-21T21:13:35.389747900+00:00,e3,wasm opt2 (pruned data + filter conditions in wasm),100000,15,5,"[34, 34, 35, 34, 33, 33, 34, 34, 33, 34, 33, 34, 39, 33, 34]",34,34
2025-05-21T21:13:36.348125400+00:00,e3,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),100000,15,5,"[58, 59, 58, 57, 58, 59, 57, 59, 58, 58, 58, 58, 64, 58, 63]",58,59
2025-05-21T21:13:37.260156800+00:00,e3,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),100000,15,5,"[56, 59, 56, 55, 54, 55, 55, 56, 56, 56, 55, 55, 56, 57, 56]",55,55
2025-05-21T21:13:41.857294900+00:00,e3,io,1000000,15,5,"[306, 308, 306, 310, 306, 303, 305, 307, 306, 304, 307, 302, 307, 307, 303]",305,305
2025-05-21T21:13:46.460005700+00:00,e3,native opt,1000000,15,5,"[304, 304, 305, 309, 305, 307, 311, 307, 307, 306, 306, 303, 303, 304, 309]",306,306
2025-05-21T21:13:52.639807400+00:00,e3,wasm (pass all data),1000000,15,5,"[403, 399, 419, 403, 401, 407, 412, 404, 416, 415, 401, 406, 403, 403, 413]",407,408
2025-05-21T21:13:59.251581300+00:00,e3,wasm opt (pruned data),1000000,15,5,"[417, 433, 481, 525, 424, 423, 421, 418, 422, 421, 422, 419, 417, 472, 417]",435,425
2025-05-21T21:14:04.482148500+00:00,e3,wasm opt2 (pruned data + filter conditions in wasm),1000000,15,5,"[340, 345, 336, 405, 337, 342, 341, 340, 336, 335, 352, 335, 338, 335, 338]",343,339
2025-05-21T21:14:13.388624+00:00,e3,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),1000000,15,5,"[584, 637, 577, 577, 585, 581, 635, 574, 629, 575, 575, 574, 577, 576, 576]",588,587
2025-05-21T21:14:21.832556200+00:00,e3,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),1000000,15,5,"[555, 576, 549, 552, 545, 566, 546, 584, 553, 556, 552, 553, 566, 568, 549]",558,559
2025-05-21T21:14:22.207154300+00:00,e4,io,1,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:14:22.288746500+00:00,e4,wasm opt2 dynamic reload,1,15,5,"[9, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 4, 4, 4, 4]",4,4
2025-05-21T21:14:22.363637900+00:00,e4,wasm opt3 dynamic reload,1,15,5,"[5, 4, 4, 4, 5, 5, 5, 4, 4, 4, 4, 4, 4, 5, 5]",4,4
2025-05-21T21:14:22.437683900+00:00,e4,wasm opt4 dynamic reload,1,15,5,"[6, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4]",4,4
2025-05-21T21:14:22.445403+00:00,e4,io,10,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-21T21:14:23.104639300+00:00,e4,wasm opt2 dynamic reload,10,15,5,"[43, 44, 44, 44, 44, 43, 45, 43, 44, 44, 42, 41, 45, 42, 42]",43,43
2025-05-21T21:14:23.731768900+00:00,e4,wasm opt3 dynamic reload,10,15,5,"[42, 41, 42, 40, 43, 40, 42, 40, 41, 41, 39, 40, 40, 44, 42]",41,40
2025-05-21T21:14:24.363686300+00:00,e4,wasm opt4 dynamic reload,10,15,5,"[41, 41, 43, 41, 43, 44, 41, 41, 41, 39, 41, 40, 41, 41, 43]",41,41
2025-05-21T21:14:24.400228300+00:00,e4,io,100,15,5,"[3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,2
2025-05-21T21:14:30.703683300+00:00,e4,wasm opt2 dynamic reload,100,15,5,"[424, 420, 421, 423, 423, 424, 424, 422, 421, 422, 415, 420, 411, 414, 410]",419,418
2025-05-21T21:14:36.956746400+00:00,e4,wasm opt3 dynamic reload,100,15,5,"[415, 416, 414, 418, 409, 409, 419, 411, 415, 413, 420, 422, 426, 417, 420]",416,417
2025-05-21T21:14:43.396899+00:00,e4,wasm opt4 dynamic reload,100,15,5,"[420, 415, 431, 423, 421, 418, 419, 424, 420, 421, 421, 430, 431, 428, 422]",422,423
2025-05-21T21:14:43.756026100+00:00,e4,io,1000,15,5,"[25, 24, 24, 23, 23, 23, 23, 23, 23, 23, 23, 23, 22, 22, 24]",23,22
2025-05-21T21:15:47.612183800+00:00,e4,wasm opt2 dynamic reload,1000,15,5,"[4239, 4221, 4214, 4229, 4242, 4209, 4226, 4241, 4236, 4250, 4268, 4264, 4296, 4362, 4349]",4256,4270
