timestamp,experiment,name,size,amount,warmup,duration,amount_avg,no_warmup_avg
2025-05-23T08:09:40.540343900+00:00,e1,io,100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:40.545698200+00:00,e1,native opt,100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:40.689351300+00:00,e1,wasm (pass all data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:40.815719600+00:00,e1,wasm opt (pruned data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:40.933844400+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:41.209840600+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:41.321009900+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:41.584804600+00:00,e1,io,1000,15,5,"[256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",17,0
2025-05-23T08:09:41.592338+00:00,e1,native opt,1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:41.712316200+00:00,e1,wasm (pass all data),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:41.830564+00:00,e1,wasm opt (pruned data),1000,15,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:41.952862800+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:42.075973+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:42.200421+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-23T08:09:42.504889400+00:00,e1,io,10000,15,5,"[248, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3]",19,3
2025-05-23T08:09:42.566263400+00:00,e1,native opt,10000,15,5,"[4, 4, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3,3
2025-05-23T08:09:42.752126+00:00,e1,wasm (pass all data),10000,15,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",5,5
2025-05-23T08:09:42.936889100+00:00,e1,wasm opt (pruned data),10000,15,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]",4,4
2025-05-23T08:09:43.117198600+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),10000,15,5,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,4
2025-05-23T08:09:43.334333700+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),10000,15,5,"[7, 7, 7, 7, 7, 7, 6, 7, 6, 6, 6, 7, 7, 7, 7]",6,6
2025-05-23T08:09:43.548690100+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),10000,15,5,"[6, 6, 6, 6, 6, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]",6,6
2025-05-23T08:09:44.401367400+00:00,e1,io,100000,15,5,"[299, 39, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39]",56,39
2025-05-23T08:09:45.014395300+00:00,e1,native opt,100000,15,5,"[40, 42, 41, 40, 43, 39, 39, 40, 40, 40, 40, 41, 40, 40, 40]",40,39
2025-05-23T08:09:45.896095+00:00,e1,wasm (pass all data),100000,15,5,"[52, 51, 50, 50, 51, 51, 51, 50, 51, 51, 50, 50, 51, 53, 52]",50,51
2025-05-23T08:09:46.772541+00:00,e1,wasm opt (pruned data),100000,15,5,"[51, 50, 50, 50, 50, 50, 51, 49, 51, 51, 51, 51, 50, 53, 51]",50,50
2025-05-23T08:09:47.551437+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),100000,15,5,"[43, 44, 44, 44, 43, 45, 43, 43, 44, 42, 45, 48, 43, 43, 43]",43,43
2025-05-23T08:09:48.698206400+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),100000,15,5,"[68, 69, 70, 67, 68, 68, 68, 68, 71, 67, 68, 68, 69, 69, 70]",68,68
2025-05-23T08:09:49.823790100+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),100000,15,5,"[66, 66, 67, 70, 67, 67, 67, 70, 66, 64, 68, 65, 66, 65, 69]",66,66
